HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE
"LK-1446","EXPLORE",0,338.456,-90,"SET-UP"
"LK-1446","EXPLORE",70,338.456,-88.7,"SGL SHOT"
"LK-1446","EXPLORE",120,346.156,-88.5,"SGL SHOT"
"LK-1446","EXPLORE",170,341.856,-88.7,"SGL SHOT"
"LK-1446","EXPLORE",220,6.956,-89.6,"SGL SHOT"
"LK-1447","EXPLORE",0,273.3567,-90,"SET-UP"
"LK-1447","EXPLORE",137,273.3567,-89.2,"SGL SHOT"
"LK-1447","EXPLORE",161,258.7567,-89.1,"SGL SHOT"
"LK-1447","EXPLORE",185,218.7567,-89,"SGL SHOT"
"LK-1451","EXPLORE",0,180,-80,"SET-UP"
"LK-1451","EXPLORE",62,185.2567,-78.8,"SGL SHOT"
"LK-1451","EXPLORE",112,189.9567,-78.7,"SGL SHOT"
"LK-1451","EXPLORE",162,192.0567,-78.9,"SGL SHOT"
"LK-1451","EXPLORE",212,193.3567,-79,"SGL SHOT"
"LK-1451","EXPLORE",262,196.1567,-79.9,"SGL SHOT"
"LK-1452","EXPLORE",0,170,-80,"SET-UP"
"LK-1452","EXPLORE",53,171.1567,-79,"SGL SHOT"
"LK-1452","EXPLORE",113,170.1567,-78.4,"SGL SHOT"
"LK-1452","EXPLORE",173,173.5567,-78.3,"SGL SHOT"
"LK-1452","EXPLORE",233,172.5567,-78.6,"SGL SHOT"
"LK-1452","EXPLORE",293,176.1567,-78.8,"SGL SHOT"
"LK-1457","EXPLORE",0,180,-80,"SET-UP"
"LK-1459","EXPLORE",0,360,-90,"SET-UP"
"LK-1459","EXPLORE",208,359.7,-87.5,"SGL SHOT"
"LK-1459","EXPLORE",238,357,-87.9,"SGL SHOT"
"LK-1460","EXPLORE",0,221.0567,-90,"SET-UP"
"LK-1460","EXPLORE",100,221.0567,-89.3,"SGL SHOT"
"LK-1460","EXPLORE",150,204.9567,-89.5,"SGL SHOT"
"LK-1460","EXPLORE",200,244.6567,-89.5,"SGL SHOT"
"LK-1465","EXPLORE",0,133.3567,-90,"SET-UP"
"LK-1465","EXPLORE",11,133.3567,-90,"SGL SHOT"
"LK-1465","EXPLORE",43,6.6567,-89.8,"SGL SHOT"
"LK-1465","EXPLORE",91,93.7567,-89.1,"SGL SHOT"
"LK-1469","EXPLORE",0,285.7567,-90,"SET-UP"
"LK-1469","EXPLORE",74,285.7567,-89.5,"SGL SHOT"
"LK-1469","EXPLORE",124,312.1567,-89.9,"SGL SHOT"
"LK-1470","EXPLORE",0,22,-90,"SET-UP"
"LK-1470","EXPLORE",25,22.3567,-89.5,"SGL SHOT"
"LK-1470","EXPLORE",55,237.4567,-89.9,"SGL SHOT"
"LK-1470","EXPLORE",103,285.8567,-89.1,"SGL SHOT"
"LK-1471","EXPLORE",0,153.4,-90,"SET-UP"
"LK-1471","EXPLORE",45,147.1567,-89.1,"SGL SHOT"
"LK-1471","EXPLORE",93,85.1567,-88.9,"SGL SHOT"
"LK-1471","EXPLORE",141,116.1567,-89.4,"SGL SHOT"
"LK-1471","EXPLORE",189,90.8567,-89.6,"SGL SHOT"
"LK-1475","EXPLORE",0,180,-80,"SET-UP"
"LK-1475","EXPLORE",110,192.4567,-80.6,"SGL SHOT"
"LK-1475","EXPLORE",152,189.2567,-80.3,"SGL SHOT"
"LK-1475","EXPLORE",194,197.1567,-80.7,"SGL SHOT"
"LK-1475","EXPLORE",236,191.1567,-81.2,"SGL SHOT"
"LK-1476","EXPLORE",0,180,-80,"SET-UP"
"LK-1476","EXPLORE",33,184.2,-80,"SGL SHOT"
"LK-1476","EXPLORE",113,185.9,-80,"SGL SHOT"
"LK-1476","EXPLORE",173,186.5,-80.4,"SGL SHOT"
"LK-1476","EXPLORE",233,185.4,-81,"SGL SHOT"
"LK-1477","EXPLORE",0,180,-90,"SET-UP"
"LK-1477","EXPLORE",112,181.1567,-88.8,"SGL SHOT"
"LK-1477","EXPLORE",148,186.4567,-88.7,"SGL SHOT"
"LK-1477","EXPLORE",196,197.2567,-88.7,"SGL SHOT"
"LK-1481","EXPLORE",0,241,-90,"SET-UP"
"LK-1481","EXPLORE",53,241.8567,-88.9,"SGL SHOT"
"LK-1481","EXPLORE",103,166.7567,-89.3,"SGL SHOT"
"LK-1482","EXPLORE",0,180,-67,"SET-UP"
"LK-1482","EXPLORE",50,185.8567,-66.8,"SGL SHOT"
"LK-1482","EXPLORE",100,185.4567,-66.8,"SGL SHOT"
"LK-1482","EXPLORE",150,187.1567,-67.1,"SGL SHOT"
"LK-1482","EXPLORE",200,187.1567,-67.1,"SGL SHOT"
"LK-1482","EXPLORE",260,186.7567,-67.2,"SGL SHOT"
"LK-1483","EXPLORE",0,289,-90,"SET-UP"
"LK-1483","EXPLORE",68,289.1567,-89.9,"SGL SHOT"
"LK-1483","EXPLORE",116,10.8567,-89.5,"SGL SHOT"
"LK-1483","EXPLORE",164,12.0567,-89.6,"SGL SHOT"
"LK-1483","EXPLORE",212,24.4567,-89.4,"SGL SHOT"
"LK-1484","EXPLORE",0,135,-90,"SET-UP"
"LK-1484","EXPLORE",69,134.6567,-88.7,"SGL SHOT"
"LK-1484","EXPLORE",114,152.4567,-88.4,"SGL SHOT"
"LK-1484","EXPLORE",153,183.6567,-88.1,"SGL SHOT"
"LK-1576","EXPLORE",0,88,-90,"SET-UP"
"LK-1576","EXPLORE",44,88.1567,-88.5,"SGL SHOT"
"LK-1576","EXPLORE",94,120.0567,-88.3,"SGL SHOT"
"LK-1576","EXPLORE",144,88.1567,-88.1,"SGL SHOT"
"LK-1577","EXPLORE",0,333,-90,"SET-UP"
"LK-1577","EXPLORE",61,333.2567,-88.1,"SGL SHOT"
"LK-1577","EXPLORE",69,40.3567,-88.5,"SGL SHOT"
"LK-1577","EXPLORE",109,345.4567,-88.2,"SGL SHOT"
"LK-1577","EXPLORE",123,37.8567,-88.9,"SGL SHOT"
"LK-1579","EXPLORE",0,72,-82,"SET-UP"
"LK-1579","EXPLORE",197,72.2567,-78.5,"SGL SHOT"
"LK-1579","EXPLORE",238,76.6567,-82.6,"SGL SHOT"
"LK-1581","EXPLORE",0,246,-90,"SET-UP"
"LK-1581","EXPLORE",71,245.8567,-89.3,"SGL SHOT"
"LK-1581","EXPLORE",121,301.7567,-89.5,"SGL SHOT"
"LK-1583","EXPLORE",0,345,-90,"SET-UP"
"LK-1583","EXPLORE",61,345.4567,-88.1,"SGL SHOT"
"LK-1583","EXPLORE",109,333.2567,-88.2,"SGL SHOT"
"LK-1585","EXPLORE",0,288,-90,"SET-UP"
"LK-1585","EXPLORE",33,288.5567,-89.4,"SGL SHOT"
"LK-1585","EXPLORE",83,336.7567,-89.4,"SGL SHOT"
"LK-1585","EXPLORE",133,326.4567,-89.3,"SGL SHOT"
"LK-1585","EXPLORE",183,346.0567,-89.5,"SGL SHOT"
"LK-1585","EXPLORE",233,305.5567,-89.2,"SGL SHOT"
"LK-1585","EXPLORE",283,287.9567,-89.2,"SGL SHOT"
"LK-1586","EXPLORE",0,327,-90,"SET-UP"
"LK-1586","EXPLORE",50,326.7567,-88.5,"SGL SHOT"
"LK-1586","EXPLORE",100,2.4567,-89.5,"SGL SHOT"
"LK-1586","EXPLORE",150,329.4567,-89.1,"SGL SHOT"
"LK-1586","EXPLORE",208,336.7567,-89,"SGL SHOT"
"LK-1587","EXPLORE",0,0.0567,-80,"SET-UP"
"LK-1587","EXPLORE",66,0.0567,-80.1,"SGL SHOT"
"LK-1587","EXPLORE",114,3.8567,-80.6,"SGL SHOT"
"LK-1587","EXPLORE",162,4.6567,-80.4,"SGL SHOT"
"LK-1587","EXPLORE",210,6.8567,-80.4,"SGL SHOT"
"LK-1587","EXPLORE",258,18.7567,-81.3,"SGL SHOT"
"LK-1588","EXPLORE",0,315,-90,"SET-UP"
"LK-1588","EXPLORE",97,314.8567,-89.7,"SGL SHOT"
"LK-1588","EXPLORE",145,329.0567,-89,"SGL SHOT"
"LK-1588","EXPLORE",193,339.2567,-89.4,"SGL SHOT"
"LK-1589","EXPLORE",0,180,-82,"SET-UP"
"LK-1589","EXPLORE",47,181.9567,-82,"SGL SHOT"
"LK-1589","EXPLORE",95,181.8567,-82.2,"SGL SHOT"
"LK-1589","EXPLORE",149,183.3567,-82.1,"SGL SHOT"
"LK-1589","EXPLORE",197,185.6567,-82.4,"SGL SHOT"
"LK-1589","EXPLORE",245,180.8567,-82.6,"SGL SHOT"
"LK-1593","EXPLORE",0,8,-70,"SET-UP"
"LK-1593","EXPLORE",65,7.8567,-69.9,"SGL SHOT"
"LK-1593","EXPLORE",113,13.4567,-69.9,"SGL SHOT"
"LK-1593","EXPLORE",161,13.8567,-69.9,"SGL SHOT"
"LK-1594","EXPLORE",0,71,-90,"SET-UP"
"LK-1594","EXPLORE",40,71.2567,-89.9,"SGL SHOT"
"LK-1594","EXPLORE",90,158.8567,-89.8,"SGL SHOT"
"LK-1594","EXPLORE",140,351.7567,-89.6,"SGL SHOT"
"LK-1595","EXPLORE",0,190,-90,"SET-UP"
"LK-1595","EXPLORE",39,190.7567,-88.8,"SGL SHOT"
"LK-1595","EXPLORE",89,173.5567,-89.1,"SGL SHOT"
"LK-1595","EXPLORE",139,171.9567,-89.1,"SGL SHOT"
"LK-1595","EXPLORE",189,187.5567,-89.1,"SGL SHOT"
"LK-1595","EXPLORE",239,180.7567,-88.8,"SGL SHOT"
"LK-1595","EXPLORE",289,239.9567,-89.2,"SGL SHOT"
"LK-1599","EXPLORE",0,10,-80,"SET-UP"
"LK-1599","EXPLORE",140,11.4567,-79.9,"SGL SHOT"
"LK-1599","EXPLORE",199,12.7567,-79.7,"SGL SHOT"
"LK-1600","EXPLORE",0,302,-67,"SET-UP"
"LK-1600","EXPLORE",56,301.8567,-65.2,"SGL SHOT"
"LK-1600","EXPLORE",102,300.4567,-65.7,"SGL SHOT"
"LK-1600","EXPLORE",144,301.0567,-65.8,"SGL SHOT"
"LK-1600","EXPLORE",186,301.3567,-65.9,"SGL SHOT"
"LK-1600","EXPLORE",228,301.4567,-66.4,"SGL SHOT"
"LK-1602","EXPLORE",0,192,-90,"SET-UP"
"LK-1602","EXPLORE",79,191.7567,-88.9,"SGL SHOT"
"LK-1602","EXPLORE",127,184.5567,-88.6,"SGL SHOT"
"LK-1603","EXPLORE",0,180,-79,"SET-UP"
"LK-1603","EXPLORE",30,179.6567,-79.3,"SGL SHOT"
"LK-1603","EXPLORE",80,184.1567,-79.7,"SGL SHOT"
"LK-1603","EXPLORE",130,184.5567,-79.7,"SGL SHOT"
"LK-1603","EXPLORE",180,178.3567,-79.7,"SGL SHOT"
"LK-1603","EXPLORE",230,182.7567,-80,"SGL SHOT"
"LK-1603","EXPLORE",280,182.0567,-80.3,"SGL SHOT"
"LK-1605","EXPLORE",0,355,-90,"SET-UP"
"LK-1605","EXPLORE",67,355.22,-88.1,"SGL SHOT"
"LK-1605","EXPLORE",115,5.0567,-88.3,"SGL SHOT"
"LK-1605","EXPLORE",163,0.7567,-88.5,"SGL SHOT"
"LK-1605","EXPLORE",211,2.0567,-88.6,"SGL SHOT"
"LK-1606","EXPLORE",0,296,-90,"SET-UP"
"LK-1606","EXPLORE",58,295.8567,-88.5,"SGL SHOT"
"LK-1606","EXPLORE",108,314.4567,-87.8,"SGL SHOT"
"LK-1606","EXPLORE",158,307.5567,-88.4,"SGL SHOT"
"LK-1606","EXPLORE",218,305.9567,-87.7,"SGL SHOT"
"LK-1606","EXPLORE",268,303.6567,-88,"SGL SHOT"
"LK-1613","EXPLORE",0,92,-90,"SET-UP"
"LK-1613","EXPLORE",36,92.1567,-88.7,"SGL SHOT"
"LK-1613","EXPLORE",82,117.7567,-89.2,"SGL SHOT"
"LK-1613","EXPLORE",130,91.3567,-89.3,"SGL SHOT"
"LK-1613","EXPLORE",178,99.6567,-89.2,"SGL SHOT"
"LK-1613","EXPLORE",226,128.4567,-89.3,"SGL SHOT"
"LK-1614","EXPLORE",0,90,-90,"SET-UP"
"LK-1614","EXPLORE",61,90.0567,-87,"SGL SHOT"
"LK-1614","EXPLORE",109,91.8567,-87.3,"SGL SHOT"
"LK-1614","EXPLORE",157,94.1567,-87.4,"SGL SHOT"
"LK-1614","EXPLORE",205,90.4567,-87.8,"SGL SHOT"
"LK-1614","EXPLORE",253,88.3567,-87.8,"SGL SHOT"
"LK-1615","EXPLORE",0,92,-75,"SET-UP"
"LK-1615","EXPLORE",35,91.7567,-75.2,"SGL SHOT"
"LK-1615","EXPLORE",85,91.1567,-75.6,"SGL SHOT"
"LK-1615","EXPLORE",135,94.5567,-75.8,"SGL SHOT"
"LK-1615","EXPLORE",185,99.1567,-76,"SGL SHOT"
"LK-1615","EXPLORE",235,97.2567,-75.7,"SGL SHOT"
"LK-1616","EXPLORE",0,318,-75,"SET-UP"
"LK-1616","EXPLORE",75,318.0567,-75.9,"SGL SHOT"
"LK-1616","EXPLORE",100,317.4567,-75.9,"SGL SHOT"
"LK-1616","EXPLORE",150,318.0567,-76,"SGL SHOT"
"LK-1616","EXPLORE",200,320.0567,-76.4,"SGL SHOT"
"LK-1616","EXPLORE",240,320.7567,-76.5,"SGL SHOT"
"LK-1620","EXPLORE",0,50,-90,"SET-UP"
"LK-1620","EXPLORE",60,50.1567,-88.6,"SGL SHOT"
"LK-1620","EXPLORE",120,51.6567,-88.7,"SGL SHOT"
"LK-1620","EXPLORE",170,59.9567,-88.4,"SGL SHOT"
"LK-1620","EXPLORE",220,55.0567,-88.5,"SGL SHOT"
"LK-1620","EXPLORE",270,61.3567,-88.5,"SGL SHOT"
"LK-1621","EXPLORE",0,175,-70,"SET-UP"
"LK-1621","EXPLORE",144,175.3567,-69.7,"SGL SHOT"
"LK-1621","EXPLORE",192,174.2567,-70.2,"SGL SHOT"
"LK-1621","EXPLORE",240,174.7567,-70.6,"SGL SHOT"
"LK-1632","EXPLORE",0,335,-90,"SET-UP"
"LK-1632","EXPLORE",39,334.7567,-88.8,"SGL SHOT"
"LK-1632","EXPLORE",89,309.7567,-89.4,"SGL SHOT"
"LK-1632","EXPLORE",139,14.1567,-89.7,"SGL SHOT"
"LK-1632","EXPLORE",189,335.9567,-88.6,"SGL SHOT"
"LK-1632","EXPLORE",239,351.1567,-88.6,"SGL SHOT"
"LK-1632","EXPLORE",289,0.6567,-88.2,"SGL SHOT"
"LK-1633","EXPLORE",0,183,-68,"SET-UP"
"LK-1633","EXPLORE",85,183.7567,-67.7,"SGL SHOT"
"LK-1633","EXPLORE",140,184.1567,-68.6,"SGL SHOT"
"LK-1633","EXPLORE",200,183.3567,-69.1,"SGL SHOT"
"LK-1633","EXPLORE",250,181.7567,-70,"SGL SHOT"
"LK-1634","EXPLORE",0,305,-90,"SET-UP"
"LK-1634","EXPLORE",50,305.1567,-89.2,"SGL SHOT"
"LK-1634","EXPLORE",100,310.9567,-89.3,"SGL SHOT"
"LK-1634","EXPLORE",150,314.4567,-89.4,"SGL SHOT"
"LK-1634","EXPLORE",200,306.4567,-88.9,"SGL SHOT"
"LK-1634","EXPLORE",250,304.1567,-89.1,"SGL SHOT"
"LK-1638","EXPLORE",0,270,-75,"SET-UP"
"LK-1638","EXPLORE",64,270.1567,-72.5,"SGL SHOT"
"LK-1638","EXPLORE",112,271.5567,-72.9,"SGL SHOT"
"LK-1638","EXPLORE",160,271.0567,-73.5,"SGL SHOT"
"LK-1638","EXPLORE",208,271.3567,-73.8,"SGL SHOT"
"LK-1639","EXPLORE",0,180,-90,"SET-UP"
"LK-1639","EXPLORE",123.5,180.8567,-88.3,"SGL SHOT"
"LK-1639","EXPLORE",171.5,185.8567,-88,"SGL SHOT"
"LK-1639","EXPLORE",219.5,181.2567,-88.8,"SGL SHOT"
"LK-1646","EXPLORE",0,257,-90,"SET-UP"
"LK-1646","EXPLORE",42,256.8567,-87.5,"SGL SHOT"
"LK-1646","EXPLORE",72,260.5567,-87.3,"SGL SHOT"
"LK-1646","EXPLORE",122,245.8567,-87.3,"SGL SHOT"
"LK-1646","EXPLORE",172,252.3567,-87.4,"SGL SHOT"
"LK-1646","EXPLORE",222,248.9567,-87.6,"SGL SHOT"
"LK-1646","EXPLORE",272,238.3567,-87.9,"SGL SHOT"
"LK-1647","EXPLORE",0,305,-90,"SET-UP"
"LK-1647","EXPLORE",50,305.1567,-89.2,"SGL SHOT"
"LK-1647","EXPLORE",100,310.9567,-89.3,"SGL SHOT"
"LK-1647","EXPLORE",150,313.6567,-89.4,"SGL SHOT"
"LK-1647","EXPLORE",200,309.9567,-89.7,"SGL SHOT"
"LK-1647","EXPLORE",270,306.8567,-89.4,"SGL SHOT"
"LK-1655","EXPLORE",0,210,-74,"SET-UP"
"LK-1655","EXPLORE",100,210,-74,"SGL SHOT"
"LK-1655","EXPLORE",200,210,-74,"SGL SHOT"
"LK-1655","EXPLORE",250,210,-74,"SGL SHOT"
"LK-1656","EXPLORE",0,308,-90,"SET-UP"
"LK-1656","EXPLORE",232,308.2,-88.4,"SGL SHOT"
"LK-1657","EXPLORE",0,216,-90,"SET-UP"
"LK-1657","EXPLORE",47,216.7,-88.1,"SGL SHOT"
"LK-1657","EXPLORE",95,182.7,-88.2,"SGL SHOT"
"LK-1657","EXPLORE",143,189.6,-88.1,"SGL SHOT"
"LK-1657","EXPLORE",190,179.4,-88,"SGL SHOT"
"LK-1661","EXPLORE",0,77,-82,"SET-UP"
"LK-1661","EXPLORE",58,77.2567,-83.3,"SGL SHOT"
"LK-1661","EXPLORE",83,77.3567,-83.2,"SGL SHOT"
"LK-1661","EXPLORE",119,79.4567,-83.6,"SGL SHOT"
"LK-1661","EXPLORE",155,80.4567,-83.4,"SGL SHOT"
"LK-1661","EXPLORE",191,79.9567,-83.3,"SGL SHOT"
"LK-1661","EXPLORE",227,82.4567,-83.5,"SGL SHOT"
"LK-1663","EXPLORE",0,272,-75,"SET-UP"
"LK-1663","EXPLORE",76,272.0567,-73.6,"SGL SHOT"
"LK-1663","EXPLORE",126,273.7567,-73.5,"SGL SHOT"
"LK-1663","EXPLORE",176,276.2567,-73.3,"SGL SHOT"
"LK-1663","EXPLORE",226,276.0567,-73.1,"SGL SHOT"
"LK-1663","EXPLORE",276,279.8567,-73,"SGL SHOT"
"LK-1663","EXPLORE",294,278.6567,-73.3,"SGL SHOT"
"LK-1668","EXPLORE",0,246,-90,"SET-UP"
"LK-1668","EXPLORE",115,245.9567,-88.8,"SGL SHOT"
"LK-1668","EXPLORE",145,287.4567,-89.2,"SGL SHOT"
"LK-1669","EXPLORE",0,164,-82,"SET-UP"
"LK-1669","EXPLORE",48,164.3567,-79.6,"SGL SHOT"
"LK-1669","EXPLORE",96,167.5567,-79.4,"SGL SHOT"
"LK-1669","EXPLORE",144,168.7567,-79.5,"SGL SHOT"
"LK-1669","EXPLORE",192,172.5567,-79.6,"SGL SHOT"
"LK-1669","EXPLORE",240,173.2567,-79.4,"SGL SHOT"
"LK-1672","EXPLORE",0,58,-90,"SET-UP"
"LK-1672","EXPLORE",78,58.6567,-89,"SGL SHOT"
"LK-1672","EXPLORE",109,63.8567,-88.8,"SGL SHOT"
"LK-1672","EXPLORE",142,71.0567,-89,"SGL SHOT"
"LK-1672","EXPLORE",175,60.7567,-88.1,"SGL SHOT"
"LK-1672","EXPLORE",208,81.0567,-88.7,"SGL SHOT"
"LK-1672","EXPLORE",241,52.4567,-89,"SGL SHOT"
"LK-1673","EXPLORE",0,329,-76,"SET-UP"
"LK-1673","EXPLORE",72,328.9567,-75,"SGL SHOT"
"LK-1673","EXPLORE",100,330.9567,-75.2,"SGL SHOT"
"LK-1673","EXPLORE",150,330.1567,-76.1,"SGL SHOT"
"LK-1673","EXPLORE",200,333.1567,-76.2,"SGL SHOT"
"LK-1673","EXPLORE",250,335.6567,-76.7,"SGL SHOT"
"LK-1674","EXPLORE",0,271,-80,"SET-UP"
"LK-1674","EXPLORE",87,271.2567,-79.4,"SGL SHOT"
"LK-1674","EXPLORE",137,274.1567,-79.5,"SGL SHOT"
"LK-1674","EXPLORE",187,275.0567,-79.8,"SGL SHOT"
"LK-1674","EXPLORE",237,275.1567,-80.3,"SGL SHOT"
"LK-1680","EXPLORE",0,77,-90,"SET-UP"
"LK-1680","EXPLORE",50,76.9567,-89.1,"SGL SHOT"
"LK-1680","EXPLORE",86,77.1567,-89.2,"SGL SHOT"
"LK-1680","EXPLORE",124,71.0567,-89,"SGL SHOT"
"LK-1680","EXPLORE",160,71.1567,-89.1,"SGL SHOT"
"LK-1680","EXPLORE",196,53.8567,-89.5,"SGL SHOT"
"LK-1682","EXPLORE",0,126,-90,"SET-UP"
"LK-1682","EXPLORE",79,125.9567,-89.1,"SGL SHOT"
"LK-1682","EXPLORE",127,126.6567,-89.1,"SGL SHOT"
"LK-1682","EXPLORE",175,139.6567,-89,"SGL SHOT"
"LK-1682","EXPLORE",223,125.5567,-89.3,"SGL SHOT"
"LK-1683","EXPLORE",0,71,-90,"SET-UP"
"LK-1683","EXPLORE",95,71.0567,-89.3,"SGL SHOT"
"LK-1683","EXPLORE",119,77.0567,-89,"SGL SHOT"
"LK-1683","EXPLORE",143,52.3567,-89.1,"SGL SHOT"
"LK-1686","EXPLORE",0,226,-73,"SET-UP"
"LK-1686","EXPLORE",65,226.1567,-72.2,"SGL SHOT"
"LK-1686","EXPLORE",115,223.7567,-75.1,"SGL SHOT"
"LK-1686","EXPLORE",165,224.8567,-75.5,"SGL SHOT"
"LK-1686","EXPLORE",215,229.3567,-74.7,"SGL SHOT"
"LK-1686","EXPLORE",265,231.4567,-75.1,"SGL SHOT"
"LK-1687","EXPLORE",0,213,-90,"SET-UP"
"LK-1687","EXPLORE",83,213.2567,-89.5,"SGL SHOT"
"LK-1687","EXPLORE",131,125.9567,-89.5,"SGL SHOT"
"LK-1687","EXPLORE",179,70.5567,-89.7,"SGL SHOT"
"LK-1687","EXPLORE",227,342.3567,-89.8,"SGL SHOT"
"LK-1688","EXPLORE",0,356,-90,"SET-UP"
"LK-1688","EXPLORE",55,356.3567,-88.9,"SGL SHOT"
"LK-1688","EXPLORE",110,24.1567,-89.5,"SGL SHOT"
"LK-1688","EXPLORE",165,323.9567,-89.2,"SGL SHOT"
"LK-1688","EXPLORE",220,306.7567,-89.2,"SGL SHOT"
"LK-1700","EXPLORE",0,303,-90,"SGL SHOT"
"LK-1700","EXPLORE",80,303.7567,-88.2,"SET-UP"
"LK-1700","EXPLORE",116,274.4567,-88.8,"SGL SHOT"
"LK-1700","EXPLORE",152,266.0567,-88.4,"SGL SHOT"
"LK-1700","EXPLORE",188,265.3567,-88.2,"SGL SHOT"
"LK-1700","EXPLORE",224,264.1567,-88.3,"SGL SHOT"
"LK-1700","EXPLORE",260,273.1567,-88.4,"SGL SHOT"
"LK-1701","EXPLORE",0,265,-90,"SET-UP"
"LK-1701","EXPLORE",155,264.8567,-87.7,"SGL SHOT"
"LK-1701","EXPLORE",191,170.4567,-87.7,"SGL SHOT"
"LK-1701","EXPLORE",227,186.4567,-88.2,"SGL SHOT"
"LK-1701","EXPLORE",263,68.0567,-87.7,"SGL SHOT"
"LK-1702","EXPLORE",0,280,-90,"SET-UP"
"LK-1702","EXPLORE",108,280.1567,-88.3,"SGL SHOT"
"LK-1702","EXPLORE",150,276.7567,-88.7,"SGL SHOT"
"LK-1702","EXPLORE",192,272.3567,-88.8,"SGL SHOT"
"LK-1709","EXPLORE",0,180,-86,"SET-UP"
"LK-1709","EXPLORE",100,180.1567,-86.3,"SGL SHOT"
"LK-1709","EXPLORE",150,176.5567,-86.3,"SGL SHOT"
"LK-1709","EXPLORE",199,181.3567,-86.5,"SGL SHOT"
